Player,Pos,Age,Min,MP,Goals
Myziane Maolida,FWMF,23.0,776,14,0.12
Sekou Mara,FW,19.0,905,26,0.59
Maranhão,FWMF,25.0,973,29,0.09
Nikola Mara,DF,26.0,1044,16,0.0
Fernando Marçal,DF,33.0,1449,18,0.0
Marcelo,DF,34.0,442,11,0.0
Marcelo,DF,35.0,898,11,0.0
Marcelo,DF,35.0,180,2,0.0
Solly March,DFFW,27.0,1746,31,0.0
Riccardo Marchizza,DF,24.0,1346,19,0.0
Gian Marco Ferrari,DF,30.0,3124,36,0.03
Iván Marcone,MF,31.0,809,20,0.0
Óscar de Marcos,DF,33.0,1679,22,0.05
Davide Marfella,GK,22.0,11,1,0.0
José Mari,MF,34.0,386,11,0.0
Pablo Marí,DF,28.0,1341,15,0.13
Pablo Marí,DF,28.0,180,2,0.0
José María Giménez,DF,27.0,2042,24,0.04
Mariano,FW,28.0,342,9,0.26
R?zvan Marin,MF,26.0,2816,36,0.0
Guillermo Maripán,DF,28.0,1832,26,0.0
Mika Màrmol,DF,19.0,1,1,0.0
Omar Marmoush,FWMF,23.0,1571,21,0.17
Omar Marmoush,FW,23.0,24,2,0.0
Marquinhos,DF,28.0,2861,32,0.16
Roger Martí,FW,31.0,2115,29,0.3
Anthony Martial,FWMF,26.0,490,9,0.0
Anthony Martial,FW,26.0,212,8,0.42
Martín,MF,23.0,115,6,0.0
Aarón Martín,DF,25.0,2292,28,0.04
Ander Martin,FWMF,21.0,88,5,0.0
Andrés Martín,FWMF,22.0,186,7,0.0
Carlos Martín,DF,20.0,6,1,0.0
Iván Martín,MF,23.0,166,6,0.0
Jonas Martin,MF,32.0,2105,29,0.04
Martinelli,FWMF,20.0,1860,29,0.29
Lucas Martínez Quarta,DF,26.0,1431,20,0.06
Emiliano Martínez,GK,29.0,3240,36,0.0
Iñigo Martínez,DF,31.0,2341,27,0.12
Javi Martínez,MF,22.0,879,26,0.1
Josep Martinez,GK,24.0,90,1,0.0
Lautaro Martínez,FW,24.0,2282,35,0.83
Pablo Martínez,MF,24.0,656,13,0.0
Gelson Martins,FWMF,27.0,1905,32,0.19
Adam Marui?,DF,29.0,2721,33,0.03
Omar Mascarell,MF,29.0,2493,32,0.0
Andrea Masiello,DF,36.0,515,7,0.0
Adam Masina,DF,28.0,1077,15,0.0
Erhan Maovi?,DF,23.0,1552,20,0.0
Roberto Massimo,DFFW,21.0,877,19,0.21
Arthur Masuaku,DFFW,28.0,650,13,0.14
Jaime Mata,FW,33.0,672,22,0.13
Juan Mata,MF,34.0,235,7,0.0
Pape Matar Sarr,MF,19.0,2129,33,0.04
Eliot Matazo,MF,20.0,790,18,0.0
Ale Mat?j?,DF,25.0,727,9,0.0
Jean-Philippe Mateta,FW,24.0,1145,22,0.39
Nemanja Mati?,MF,33.0,1382,23,0.0
Joël Matip,DF,30.0,2790,31,0.1
Chrislain Matsima,DF,20.0,134,7,0.0
Azor Matusiwa,MF,24.0,2463,29,0.04
Neal Maupay,FW,25.0,2276,32,0.32
Stephy Mavididi,FWMF,23.0,2299,30,0.31
Konstantinos Mavropanos,DF,24.0,2705,31,0.13
Eric Maxim Choupo-Moting,FWMF,33.0,377,20,0.95
Luís Maximiano,GK,23.0,3046,34,0.0
Borja Mayoral,FWDF,25.0,96,5,0.0
Borja Mayoral,FW,25.0,1044,18,0.52
Derek Mazou-Sacko,FWDF,17.0,3,2,0.0
Pasquale Mazzocchi,DF,26.0,1269,15,0.0
Pasquale Mazzocchi,DF,26.0,1243,18,0.0
Kevin Mbabu,DF,27.0,1391,24,0.0
Kylian Mbappé,FW,23.0,3023,35,0.83
Ibrahima Mbaye,DF,27.0,108,6,0.0
Amadou Mbengue,DFMF,20.0,610,12,0.0
Bryan Mbeumo,FW,22.0,2905,35,0.12
Jason Mbock,FW,22.0,17,1,0.0
Jordi Mboula,FW,23.0,434,11,0.0
Moustapha Mbow,DF,22.0,90,1,0.0
Nathanael Mbuku,FWMF,20.0,1418,31,0.13
James McArthur,MF,34.0,1439,21,0.0
James Mcatee,MFFW,19.0,20,2,0.0
Kasey McAteer,FW,20.0,3,1,0.0
Liam McCarron,FW,21.0,10,1,0.0
Alex McCarthy,GK,32.0,1530,17,0.0
John McGinn,MF,27.0,3090,35,0.09
Weston McKennie,MF,23.0,1369,21,0.2
Stuart McKinstry,MF,19.0,4,1,0.0
Kenny McLean,MF,30.0,2706,31,0.03
Dwight McNeil,MF,22.0,3107,38,0.0
Scott McTominay,MF,25.0,2387,30,0.04
Gary Medel,DF,34.0,2823,33,0.0
Facundo Medina,DF,23.0,2593,31,0.03
Nathan de Medina,DF,24.0,775,19,0.0
Ben Mee,DF,32.0,1839,21,0.15
Admir Mehmedi,MF,31.0,4,1,0.0
Hannibal Mejbri,FW,19.0,68,2,0.0
Farid El Melali,FW,24.0,14,2,0.0
Filippo Melegoni,FWMF,23.0,980,25,0.09
Óscar Melendo,MFFW,24.0,990,21,0.0
Gonzalo Melero,MF,28.0,1692,29,0.37
Birger Meling,DF,27.0,1829,31,0.0
Arthur Melo,MF,25.0,962,20,0.0
Houboulang Mendes,DF,24.0,3220,36,0.0
Nuno Mendes,DF,19.0,1658,27,0.0
Pedro Mendes,DF,31.0,16,1,0.0
Thiago Mendes,MFDF,30.0,1863,29,0.1
Tomás Mendes,MF,17.0,9,1,0.0
Brais Méndez,MF,25.0,3021,37,0.12
Édgar Méndez,FWMF,32.0,1614,32,0.06
Arial Mendy,DFFW,27.0,792,18,0.0
Batista Mendy,MFDF,22.0,2413,34,0.04
Benjamin Mendy,DF,27.0,78,1,0.0
Edouard Mendy,GK,30.0,3060,34,0.0
Ferland Mendy,DF,26.0,1734,22,0.1
Nampalys Mendy,MF,29.0,1032,14,0.0
Gideon Mensah,DF,23.0,1208,23,0.0
Jorge Meré,DF,25.0,490,8,0.0
Alex Meret,GK,25.0,619,7,0.0
Fran Mérida,MF,32.0,266,10,0.0
Mikel Merino,MF,25.0,2890,34,0.09
Quentin Merlin,DF,20.0,1926,28,0.09
Martín Merquelanz,FW,26.0,173,4,0.0
Yýldýrým Mert Çetin,DF,25.0,46,2,0.0
Dries Mertens,FWMF,35.0,1384,30,0.71
Illan Meslier,GK,22.0,3384,38,0.0
Lionel Messi,FWMF,34.0,2153,26,0.25
Junior Messias,FWMF,31.0,1428,26,0.31
Thomas Meunier,DF,30.0,1402,17,0.13
Mexer,DF,33.0,1227,16,0.07
Marco Meyerhöfer,DF,26.0,2280,26,0.04
Matt Miazga,DF,26.0,833,11,0.0
Kingsley Michael,MF,22.0,76,2,0.0
Sven Michel,FW,31.0,338,13,0.79
Edouard Michut,MF,19.0,70,5,0.0
Miguel,FWMF,22.0,829,22,0.11
Valentin Mihaila,FWMF,22.0,76,5,0.0
Mikael,FWMF,23.0,87,7,0.0
Hilmir Mikaelsson,FW,18.0,18,1,0.0
Georges Mikautadze,FW,21.0,1,1,0.0
William Mikelbrencis,DF,18.0,610,9,0.0
Nikola Milenkovi?,DF,24.0,2926,34,0.03
Arkadiusz Milik,FW,28.0,1416,23,0.45
Sergej Milinkovi?-Savi?,MF,27.0,3100,37,0.32
Vanja Milinkovi?-Savi?,GK,25.0,2430,27,0.0
Éder Militão,DF,24.0,3031,34,0.03
Luka Milivojevi?,MF,31.0,774,15,0.0
Luis Milla,MF,27.0,2693,33,0.1
Pere Milla,FWMF,29.0,1644,32,0.44
Enzo Millot,MF,19.0,53,6,0.0
James Milner,MFDF,36.0,853,24,0.0
Santi Mina,FW,26.0,2367,33,0.27
Yerry Mina,DF,27.0,846,13,0.0
Takumi Minamino,FWMF,27.0,186,11,1.43
Tyrone Mings,DF,29.0,3189,36,0.03
Óscar Mingueza,DF,23.0,894,19,0.0
Rafa Mir,FW,24.0,1808,34,0.5
Jorge Miramón,DF,32.0,1977,29,0.05
Aleksei Miranchuk,MFFW,26.0,772,19,0.23
Juan Miranda,DF,22.0,783,13,0.0
Fabio Miretti,MF,18.0,321,6,0.0
Tyrick Mitchell,DF,22.0,3101,36,0.0
Stefan Mitrovi?,DF,32.0,2667,32,0.03
Maximilian Mittelstädt,DFFW,25.0,1493,24,0.0
Henrikh Mkhitaryan,MFFW,33.0,2495,31,0.18
Jakub Moder,MFFW,23.0,1701,28,0.0
Anthony Modeste,FW,34.0,2606,32,0.69
Marco Modolo,DF,33.0,392,6,0.0
Luka Modri?,MF,36.0,2032,28,0.09
Terem Moffi,FW,23.0,2711,37,0.27
Kevin Möhwald,MF,28.0,354,16,0.0
Dion Moise Sahi,FWMF,20.0,128,8,0.0
Johan Mojica,DF,29.0,2855,33,0.06
Clinton Mola,DF,21.0,113,3,0.0
Jorge Molina,FW,40.0,1966,35,0.46
Nahuel Molina,DF,24.0,2638,35,0.24
Cristian Molinaro,DF,38.0,548,8,0.0
Florent Mollet,FWMF,30.0,2630,35,0.21
Jon Moncayola,MF,24.0,2915,36,0.06
Monchu,MF,22.0,668,14,0.0
Thomas Monconduit,MF,31.0,2248,34,0.12
Gonzalo Montiel,DF,25.0,1066,18,0.08
Lorenzo Montipò,GK,26.0,3060,34,0.0
Ángel Montoro,MF,33.0,1331,24,0.07
Martín Montoya,DF,31.0,518,6,0.0
Wesley Moraes,FW,25.0,1,1,0.0
Álvaro Morata,FW,29.0,2302,35,0.35
Jan Morávek,MF,32.0,471,17,0.0
Jon Morcillo,MF,23.0,54,7,0.0
Jérémy Morel,DF,38.0,604,9,0.0
Alberto Moreno,MFDF,29.0,1223,24,0.22
Álex Moreno,DF,28.0,2404,30,0.19
Gerard Moreno,FW,30.0,1191,17,0.68
Tete Morente,MFFW,25.0,1632,32,0.17
Ilaix Moriba,MF,19.0,32,2,0.0
Ilaix Moriba,MF,19.0,818,14,0.0
Manu Morlanes,MF,23.0,1144,27,0.16
Raúl Moro,FW,19.0,201,11,0.0
Loren Morón,FWMF,28.0,563,21,0.16
Loren Morón,FW,28.0,4,1,0.0
Tyler Morton,MF,19.0,66,2,0.0
Cristhian Mosquera,DF,17.0,212,6,0.0
Lebo Mothiba,FWMF,26.0,522,13,0.34
Lebo Mothiba,FW,26.0,1,1,0.0
Andrei Motoc,DF,20.0,90,1,0.0
Baptiste Mouazan,MF,20.0,96,3,0.0
Aimen Moueffek,MF,21.0,432,14,0.0
Youssoufa Moukoko,FW,17.0,223,16,0.8
Harold Moukoudi,DF,24.0,1661,24,0.0
Jessy Moulin,GK,36.0,630,7,0.0
Steve Mounié,FW,27.0,2312,35,0.35
Mason Mount,MFFW,23.0,2363,32,0.42
Lucas Moura,FWMF,29.0,1775,34,0.1
Lys Mousset,FWMF,26.0,160,6,0.0
João Moutinho,MF,35.0,2970,35,0.06
Samuel Moutoussamy,MF,25.0,1509,30,0.0
Toni Moya,MF,24.0,1386,28,0.0
Samuel Mráz,FW,25.0,54,2,0.0
Nordi Mukiele,DF,24.0,1842,28,0.05
Mert Müldür,DF,23.0,2046,31,0.0
Florian Müller,GK,24.0,2700,30,0.0
Thomas Müller,MF,32.0,2558,32,0.28
Bali Mumba,DF,20.0,45,1,0.0
Marshall Munetsi,MFDF,25.0,1885,24,0.24
Iker Muniain,MF,29.0,2785,35,0.13
Aihen Muñoz,DF,24.0,1342,20,0.0
Luis Muriel,FW,31.0,1539,27,0.53
Jeison Murillo,DF,30.0,1117,19,0.0
Vedat Muriqi,FW,28.0,215,11,0.0
Vedat Muriqi,FW,28.0,1438,16,0.31
Jacob Murphy,FWDF,27.0,1473,33,0.06
Nicola Murru,DF,27.0,983,22,0.09
Yunus Musah,MFFW,19.0,1259,29,0.07
Torben Müsel,MF,22.0,5,1,0.0
Jamal Musiala,MFFW,19.0,1465,30,0.31
Juan Musso,GK,28.0,2932,33,0.0
Shkodran Mustafi,DF,30.0,658,11,0.14
Junior Mwanga,DF,19.0,90,1,0.0
Enock Mwepu,MFFW,24.0,996,18,0.18
Vitaliy Mykolenko,DF,23.0,1055,13,0.09
Joakim Mæhle,DF,25.0,1471,26,0.06
Obite N'Dicka,DF,22.0,2857,32,0.13
Kévin N'Doram,MF,26.0,1235,19,0.0
Eric N'Jo,DF,17.0,98,2,0.0
Vital N'Simba,DF,28.0,2789,34,0.03
Nacho,DF,32.0,1555,28,0.17
Mickael Nade,DF,23.0,2563,30,0.04
Marvelous Nakamba,MF,28.0,904,16,0.0
Nahitan Nández,MFDF,26.0,1523,21,0.0
Nani,FWMF,35.0,287,10,0.0
Paul Nardi,GK,28.0,1980,22,0.0
Nikolas Nartey,MFDF,22.0,404,8,0.0
Matija Nastasi?,DF,29.0,219,5,0.0
Roberto Navarro,MFFW,20.0,199,6,0.0
Ximo Navarro,DF,32.0,1347,18,0.0
Jesús Navas,DF,36.0,1786,25,0.0
Keylor Navas,GK,35.0,1856,21,0.0
Papa Ndiaga Yade,DFMF,22.0,696,18,0.0
Loum Ndiaye,MF,25.0,2312,32,0.08
Wilfred Ndidi,MFDF,25.0,1618,19,0.0
Tanguy Ndombele,MF,25.0,484,9,0.19
Tanguy Ndombele,MF,25.0,701,11,0.0
Dan Ndoye,FWMF,21.0,205,3,0.0
Paul Nebel,MFFW,19.0,228,10,0.0
Álvaro Negredo,FW,36.0,2157,34,0.29
Reiss Nelson,FW,22.0,20,1,0.0
David Nemeth,DF,21.0,311,6,0.0
Ilija Nestorovski,FW,32.0,188,7,0.48
Neto,GK,32.0,270,3,0.0
Pedro Neto,FWMF,22.0,466,13,0.19
Luca Netz,DF,19.0,1396,24,0.0
Manuel Neuer,GK,36.0,2510,28,0.0
Florian Neuhaus,MF,25.0,2121,29,0.17
Carlos Neva,DF,25.0,2108,26,0.0
Rúben Neves,MF,25.0,2661,33,0.14
Neymar,FWMF,30.0,1851,22,0.63
Yvan Neyou,MF,25.0,936,16,0.0
Jeremy Ngakia,DF,21.0,903,16,0.0
Jessic Ngankam,FW,21.0,341,6,0.53
Opa Nguette,FWMF,27.0,1048,26,0.17
Aurélien Nguiamba,MF,23.0,51,3,0.0
Sikou Niakaté,DF,22.0,661,12,0.0
Moussa Niakhate,DF,26.0,2567,30,0.14
Ibrahima Niane,FW,23.0,1582,26,0.17
M'Baye Niang,FW,27.0,777,22,0.35
Cheikh Niasse,MFFW,22.0,44,4,0.0
Florian Niederlechner,FW,31.0,1165,26,0.39
Håvard Nielsen,MFFW,28.0,1367,26,0.13
Saúl Ñíguez,MFDF,27.0,480,10,0.0
Saúl Ñíguez,DFMF,27.0,201,3,0.0
Dimitris Nikolaou,DF,23.0,3240,36,0.0
Joakim Nilsson,DF,28.0,2735,31,0.07
Casimir Ninga,FW,29.0,409,16,0.0
Fernando Niño,FW,21.0,884,23,0.2
Eddie Nketiah,FW,22.0,835,21,0.54
Nicolas Nkoulou,DF,32.0,168,3,0.0
Christopher Nkunku,FWMF,24.0,2723,34,0.66
Lukas Nmecha,FWMF,23.0,1627,25,0.44
Mark Noble,MF,35.0,332,11,0.27
Peru Nolaskoain,DF,23.0,1,1,0.0
Nolito,MF,35.0,1384,32,0.13
Arnaud Nordin,FWMF,23.0,1874,36,0.19
Håvard Nordtveit,DF,31.0,304,11,0.0
Mathias Normann,MF,26.0,1645,23,0.05
Connor Noß,MF,21.0,52,3,0.0
Hugo Novoa,MFFW,19.0,136,8,0.67
Soma Novothny,FWMF,27.0,80,6,1.11
Jean-Pierre Nsame,FW,29.0,245,11,0.0
Randy Ntekja,FWMF,24.0,1462,34,0.19
Alexander Nübel,GK,25.0,3420,38,0.0
Kasim Nuhu,DF,26.0,5,3,0.0
Unai Núñez,DF,25.0,622,9,0.0
Hans Nunoo Sarpei,DFMF,23.0,643,8,0.0
Bram Nuytinck,DF,32.0,2033,27,0.04
Simeon Nwankwo,FW,30.0,842,19,0.11
Gerzino Nyamsi,DF,25.0,2984,34,0.0
Allan Nyom,DF,34.0,244,5,0.0
M'Bala Nzola,FW,25.0,1068,21,0.17
Christian Nørgaard,MF,28.0,3054,35,0.09
Adam Obert,DF,19.0,274,6,0.0
Joel Obi,MFDF,31.0,1143,21,0.0
Jan Oblak,GK,29.0,3420,38,0.0
Lucas Ocampos,FW,27.0,2125,30,0.25
Bastian Oczipka,DF,33.0,932,18,0.0
Brain Oddei,FW,19.0,8,2,0.0
Álvaro Odriozola,DF,26.0,1733,25,0.05
Angelo Ogbonna,DF,34.0,921,11,0.1
Florent Ogier,DF,33.0,2429,30,0.04
Stefano Okaka,FW,32.0,22,2,0.0
David Okereke,FWMF,24.0,2053,32,0.31
Masaya Okugawa,MFFW,26.0,2531,33,0.28
Lucas Olaza,DF,27.0,295,5,0.3
Oier Olazábal,GK,32.0,135,2,0.0
Mathias Olesen,MF,21.0,17,3,0.0
Michael Olise,FWMF,20.0,1141,26,0.16
Christian Oliva,MF,25.0,48,4,0.0
Brian Oliván,DF,28.0,2189,28,0.04
Sérgio Oliveira,MF,29.0,892,14,0.2
Mathías Olivera,DF,24.0,2803,32,0.03
Dani Olmo,MF,24.0,743,19,0.36
Robin Olsen,GK,32.0,90,1,0.0
Warmed Omari,DF,22.0,2796,34,0.0
Jonas Omlin,GK,28.0,2587,29,0.0
Andrew Omobamidele,DF,19.0,382,5,0.24
Amadou Onana,MF,20.0,1359,32,0.07
Jean Onana,MF,22.0,1832,23,0.15
Karim Onisiwo,FW,30.0,2361,31,0.19
Javier Ontiveros,MFFW,24.0,39,3,0.0
Tyler Onyango,MFFW,19.0,28,3,0.0
Frank Onyeka,MF,24.0,1045,20,0.0
Willi Orban,DF,29.0,2642,30,0.07
Divock Origi,FW,27.0,133,7,2.0
Riccardo Orsolini,FW,25.0,1785,29,0.3
Stefan Ortega,GK,29.0,2970,33,0.0
Pedro Ortiz,MF,21.0,7,1,0.0
Victor Osimhen,FW,23.0,1983,27,0.64
Milutin Osmaji?,FWMF,22.0,257,10,0.0
David Ospina,GK,33.0,2790,31,0.0
Patrick Osterhage,MF,22.0,599,13,0.0
Tomá Ostrák,FWMF,22.0,31,5,0.0
Otávio,MF,28.0,1147,16,0.0
Paulo Otávio,DF,27.0,362,7,0.0
Dango Ouattara,MFFW,20.0,812,25,0.11
Remi Oudin,MFFW,25.0,1737,33,0.21
Alexandre Oukidja,GK,33.0,1875,21,0.0
Azzedine Ounahi,MF,22.0,1633,32,0.11
Adam Ounas,MFFW,25.0,326,15,0.0
Jesús Owono,GK,21.0,90,1,0.0
Reece Oxford,DF,23.0,2693,30,0.07
Alex Oxlade-Chamberlain,MFFW,28.0,785,17,0.23
Mikel Oyarzabal,FWMF,25.0,1671,22,0.48
Ambroise Oyongo,DF,30.0,659,11,0.14
Salih Özcan,MF,24.0,2312,31,0.08
Levin Öztunalý,MF,26.0,572,18,0.0
Fernando Pacheco,GK,30.0,3053,34,0.0
Jon Pacheco,DF,21.0,381,10,0.0
Gonçalo Paciência,FW,27.0,516,18,0.53
Daniele Padelli,GK,36.0,270,3,0.0
Gavi Paez,MFFW,17.0,2316,34,0.08
Simone Pafundi,FW,16.0,23,1,0.0
Vincent Pajot,MF,31.0,2311,30,0.04
Exequiel Palacios,MF,23.0,1097,23,0.16
Helibelton Palacios,DF,28.0,1931,26,0.0
Isaac Palazón Camacho,FWMF,27.0,2288,34,0.08
Nicolas Pallois,DF,34.0,2447,30,0.04
Cole Palmer,FWMF,20.0,123,4,0.0
Erik Palmer-Brown,DF,25.0,1734,21,0.0
Emerson Palmieri,DF,27.0,2264,29,0.04
Emerson Palmieri,DF,27.0,5,1,0.0
Martin Palumbo,MF,20.0,13,1,0.0
Goran Pandev,FWMF,38.0,843,20,0.0
Ivor Pandur,GK,22.0,270,3,0.0
Milo Pantovi?,MFFW,25.0,1533,28,0.24
Antonios Papadopoulos,DFMF,22.0,17,2,0.0
Matondo-Merveille Papela,MF,21.0,83,5,0.0
Lucas Paquetá,MFFW,24.0,2699,35,0.3
Rubén Pardo,MF,29.0,6,1,0.0
Kevin Paredes,FWDF,19.0,16,2,0.0
Leandro Paredes,MF,27.0,838,15,0.11
Daniel Parejo,MF,33.0,2704,33,0.07
Fabiano Parisi,DF,21.0,1477,25,0.0
Raúl Parra,DF,22.0,88,2,0.0
Thomas Partey,MF,28.0,2028,24,0.09
Mario Paali?,MFFW,27.0,2002,37,0.59
Felix Passlack,DF,24.0,472,10,0.19
Javier Pastore,MFFW,32.0,525,13,0.0
Patric,DF,29.0,1649,24,0.05
Rui Patrício,GK,34.0,3420,38,0.0
Paulinho,FWMF,21.0,1218,24,0.3
Gabriel Paulista,DF,31.0,1592,19,0.11
Benjamin Pavard,DF,26.0,2076,25,0.0
Strahinja Pavlovi?,DF,21.0,451,7,0.0
Leonardo Pavoletti,FW,33.0,1518,33,0.3
Dimitri Payet,FWMF,35.0,2592,31,0.42
Mads Pedersen,MFDF,25.0,1391,29,0.13
Alfonso Pedraza,DF,26.0,1701,28,0.21
Pedri,MF,19.0,885,12,0.31
Pedro,FW,34.0,2033,32,0.4
João Pedro,FW,30.0,3323,37,0.35
João Pedro,FWMF,20.0,1644,28,0.16
Pedrosa,DF,24.0,2720,31,0.03
Gianluca Pegolo,GK,41.0,90,1,0.0
Peter Pekarík,DF,35.0,2234,27,0.0
Pietro Pellegri,FW,21.0,216,9,0.42
Pietro Pellegri,FW,21.0,131,6,0.0
Lorenzo Pellegrini,MFFW,25.0,2289,28,0.35
Luca Pellegrini,DF,23.0,1107,18,0.0
Facundo Pellistri,MFFW,20.0,672,21,0.0
Federico Peluso,DF,38.0,11,2,0.0
Timothee Pembele,DF,19.0,1414,26,0.06
Rubén Peña,MFFW,30.0,132,7,0.0
Philipp Pentke,GK,37.0,90,1,0.0
Nicolas Pépé,FWMF,27.0,696,20,0.13
Ricardo Pepi,FWMF,19.0,477,11,0.0
Alberto Perea,MF,31.0,777,18,0.0
Victor Perea,DF,22.0,4,1,0.0
Mathias Pereira Lage,DF,25.0,1040,24,0.34
Brayann Pereira,DF,19.0,15,2,0.0
Danilo Pereira,MF,30.0,2038,27,0.22
Ricardo Pereira,DF,28.0,991,14,0.09
Gastón Pereiro,FWMF,26.0,975,29,0.37
Luan Peres Petroni,DF,27.0,2679,34,0.0
Dor Peretz,MF,27.0,585,18,0.0
Roberto Pereyra,MFFW,31.0,1794,24,0.15
Ayoze Pérez,MFFW,28.0,445,14,0.41
Carles Pérez,MFFW,24.0,554,19,0.16
Iñigo Pérez,MF,34.0,338,10,0.26
Juan Pérez,GK,25.0,180,2,0.0
Kike Pérez,FWMF,25.0,519,12,0.34
Lucas Pérez,FW,33.0,1266,18,0.14
Lucas Pérez,FWMF,33.0,1060,15,0.25
Nehuén Pérez,DF,21.0,1692,20,0.0
Mattia Perin,GK,29.0,405,5,0.0
Ivan Perii?,DF,33.0,2821,35,0.26
Sonny Perkins,FW,18.0,4,1,0.0
Diego Perotti,FWMF,33.0,287,11,0.0
Romain Perraud,DF,24.0,1623,20,0.0
Lucas Perrin,DF,23.0,2502,31,0.04
Mario Perrone,DF,19.0,15,1,0.0
Pavao Pervan,GK,34.0,540,6,0.0
Matteo Pessina,MFFW,25.0,1438,27,0.06
Andrea Petagna,FW,26.0,586,24,0.46
Nils Petersen,FWMF,33.0,580,22,0.78
Danijel Petkovi?,GK,29.0,1350,15,0.0
Léo Pétrot,DF,25.0,1815,22,0.05
Njego Petrovi?,MF,22.0,918,15,0.0
Jens Petter Hauge,FWMF,22.0,1040,26,0.17
Alex Petxa,DFMF,25.0,412,17,0.0
Germán Pezzella,DF,30.0,1988,23,0.05
Giuseppe Pezzella,DF,24.0,1072,21,0.0
Immanuel Pherai,MF,21.0,1,1,0.0
Maximilian Philipp,MFFW,28.0,963,22,0.09
Romain Philippoteaux,MF,34.0,24,1,0.0
Kalvin Phillips,MF,26.0,1596,20,0.0
Jaden Philogene Bidace,FW,20.0,5,1,0.0
Jérôme Phojo,DF,29.0,6,1,0.0
Krzysztof Pi?tek,FW,26.0,733,14,0.37
Krzysztof Pi?tek,FW,26.0,347,9,0.26
Pablo Piatti,MFFW,33.0,312,10,0.0
Cristiano Piccini,DF,29.0,322,6,0.28
Roberto Piccoli,FW,21.0,218,5,0.0
Roberto Piccoli,FW,21.0,196,12,0.45
Jordan Pickford,GK,28.0,3150,35,0.0
Jérémy Pied,DFFW,33.0,13,2,0.0
Amos Pieper,DF,24.0,2379,27,0.0
Ronaël Pierre-Gabriel,DF,23.0,2548,30,0.0
Erik Pieters,DF,33.0,730,12,0.0
Tomás Pina Isla,MF,34.0,1444,29,0.0
Andrea Pinamonti,FW,23.0,2869,36,0.41
Orbelín Pineda,MFFW,26.0,99,7,0.0
Ethan Pinnock,DF,29.0,2694,32,0.03
Yeremi Pino,MFFW,19.0,1678,31,0.32
Carlo Pinsoglio,GK,32.0,45,1,0.0
Riccardo Pinzi,MF,18.0,1,1,0.0
Gerard Piqué,DF,35.0,2092,27,0.04
Marko Pjaca,MFFW,27.0,1149,24,0.23
Marvin Plattenhardt,DF,30.0,1637,21,0.0
Alassane Pléa,FWMF,29.0,2070,33,0.43
Tommaso Pobega,MF,22.0,2240,33,0.16
Daniel Podence,FWMF,26.0,1484,26,0.12
Suf Podgoreanu,FW,20.0,113,5,0.0
Paul Pogba,MFFW,29.0,1349,20,0.07
Joel Pohjanpalo,FW,27.0,12,2,0.0
Matteo Politano,FW,28.0,1650,33,0.16
Julian Pollersbeck,GK,27.0,436,6,0.0
Sebastian Polter,FW,31.0,2341,33,0.38
Ezequiel Ponce,FW,25.0,667,13,0.14
Marin Pongra?i?,DF,24.0,827,17,0.0
Pere Pons,MF,29.0,1366,27,0.07
Nick Pope,GK,30.0,3240,36,0.0
Manolo Portanova,FWMF,21.0,1322,24,0.07
Portu,FWMF,30.0,1590,37,0.06
Stefan Posch,DF,25.0,2199,28,0.08
Sergio Postigo,DF,33.0,848,13,0.0
Yussuf Poulsen,FW,27.0,1079,25,0.5
Gaëtan Poussin,GK,23.0,1170,13,0.0
Darío Poveda,FWMF,25.0,380,15,0.24
José Pozo,MF,26.0,72,5,0.0
Dennis Praet,FWMF,28.0,1539,23,0.12
Mateusz Praszelik,FWMF,21.0,25,2,0.0
Abdón Prats,FW,29.0,641,23,0.42
Sanjin Prci?,MF,28.0,2186,32,0.04
Nicolas de Préville,FWMF,31.0,1969,27,0.23
Isaac Price,MF,18.0,14,1,0.0
Manuel Prietl,MF,30.0,2123,26,0.0
Alejandro Primo,GK,17.0,90,1,0.0
Grischa Prömel,MF,27.0,2422,29,0.3
Nick Proschwitz,FW,35.0,27,1,0.0
Ivan Provedel,GK,28.0,2761,31,0.0
Javi Puado,FWMF,24.0,2245,30,0.16
Pubill,DF,18.0,512,11,0.0
Antonio Puertas,MFFW,30.0,2261,33,0.24
Riqui Puig,MF,22.0,487,15,0.19
Teemu Pukki,FW,32.0,3253,37,0.3
Erick Pulgar,MF,28.0,341,6,0.0
Christian Pulisic,MFFW,23.0,1290,22,0.42
Afimico Pululu,FW,23.0,70,8,0.0
Ignacio Pussetto,FWMF,26.0,1204,28,0.3
Niklas Pyyhtiä,MF,18.0,19,1,0.0
Przemys?aw P?acheta,FWMF,24.0,504,12,0.0
Yacine Qasmi,MF,31.0,4,1,0.0
Fabio Quagliarella,FW,39.0,1664,33,0.22
Quini,DF,32.0,2304,32,0.0
Dani Raba,MFFW,26.0,26,2,0.0
Dani Raba,MFFW,26.0,89,7,0.0
Adrien Rabiot,MF,27.0,2285,32,0.0
Uro Ra?i?,MF,24.0,1206,28,0.0
Nemanja Radoja,MF,29.0,1214,19,0.0
Nemanja Radonji?,MF,26.0,18,1,0.0
Ivan Radovanovi?,DFMF,33.0,1053,14,0.09
Ionu? Radu,GK,25.0,90,1,0.0
?tefan Radu,DF,35.0,556,10,0.0
Boris Radunovi?,GK,26.0,270,3,0.0
Sidney Raebiger,MF,17.0,4,1,0.0
Rafinha,MFFW,29.0,1050,17,0.09
