Player,Pos,Age,Min,MP,Goals
Ante Budimir,FW,30.0,1738,28,0.41
Emi Buendía,FWMF,25.0,1899,35,0.19
Osman Bukari,FWMF,23.0,1012,24,0.18
Aleksander Buksa,FW,19.0,63,4,0.0
Alessandro Buongiorno,DF,22.0,1181,23,0.0
Sascha Burchert,GK,32.0,1260,14,0.0
Delano Burgzorg,FW,23.0,27,3,3.33
Jonathan Burkardt,FWMF,21.0,2611,34,0.38
Roman Bürki,GK,31.0,90,1,0.0
Dan Burn,DF,30.0,1022,13,0.09
Dan Burn,DF,30.0,1440,16,0.0
Maxime Busi,DF,22.0,1296,18,0.07
Gianluca Busio,MF,20.0,1950,29,0.05
Oriol Busquets,MF,23.0,201,9,0.0
Sergio Busquets,MF,33.0,3198,36,0.06
Jack Butland,GK,29.0,765,9,0.0
Adrián Butzke,FW,23.0,1,1,0.0
Marcin Bu?ka,GK,22.0,90,1,0.0
Jamie Bynoe-Gittens,FW,17.0,134,4,0.0
Sam Byram,DF,28.0,1027,15,0.0
Erick Cabaco,DF,27.0,403,10,0.0
Willy Caballero,GK,40.0,180,2,0.0
Rémy Cabella,MFFW,32.0,313,5,0.0
Jimmy Cabot,DF,28.0,2008,24,0.0
Jovane Cabral,FW,23.0,190,3,0.48
Leandro Cabrera,DF,30.0,3330,37,0.05
Liberato Cacace,DF,21.0,466,10,0.0
Martín Cáceres,DF,35.0,832,14,0.11
Martín Cáceres,DF,35.0,663,10,0.0
Anthony Caci,DF,24.0,2395,37,0.04
Mathieu Cafaro,FWMF,25.0,192,4,0.0
Yannick Cahuzac,MF,37.0,618,17,0.0
Felipe Caicedo,FW,33.0,284,9,0.31
Felipe Caicedo,FW,33.0,23,3,0.0
Moisés Caicedo,MF,20.0,660,8,0.14
Marc-Aurèle Caillard,GK,28.0,1542,19,0.0
Jens Cajuste,MF,22.0,364,8,0.5
Cala,DF,32.0,947,14,0.0
Davide Calabria,DF,25.0,2119,26,0.09
Riccardo Calafiori,DF,20.0,82,3,0.0
Riccardo Calafiori,DF,20.0,174,6,0.0
Mattia Caldara,DF,28.0,2704,31,0.03
Calderón,DF,22.0,65,1,0.0
Fernando Calero,DF,26.0,1090,16,0.0
Duje ?aleta-Car,DF,25.0,2057,26,0.09
Hakan Çalhanoðlu,MF,28.0,2480,34,0.25
Daniel Caligiuri,DFMF,34.0,2004,28,0.18
José Callejón,FW,35.0,1298,30,0.07
Lucas Calodat,DF,20.0,4,1,0.0
Dominic Calvert-Lewin,FW,25.0,1283,17,0.35
Mahdi Camara,MFDF,23.0,3073,35,0.09
Mamadou Camara,FW,21.0,40,3,0.0
Víctor Camarasa,MFFW,28.0,108,7,0.0
Eduardo Camavinga,MF,19.0,143,4,0.0
Eduardo Camavinga,MF,19.0,1191,25,0.15
Andrea Cambiaso,DF,22.0,1790,26,0.05
José Campaña,MF,28.0,1422,20,0.13
Chem Campbell,MF,19.0,13,1,0.0
Emre Can,DFMF,28.0,1690,24,0.27
Sergio Canales,FWMF,31.0,2791,34,0.16
Matteo Cancellieri,MFDF,20.0,227,12,0.4
João Cancelo,DF,28.0,3227,36,0.03
Fali Candé,DF,24.0,973,11,0.0
Antonio Candreva,MFFW,35.0,3119,36,0.2
Sergi Canós,DF,25.0,2083,31,0.13
Álex Cantero,FWMF,21.0,610,25,0.0
Todd Cantwell,FWMF,24.0,441,8,0.0
Ander Capa,DF,30.0,4,1,0.0
Pierrick Capelle,MFDF,35.0,1193,30,0.0
Leonardo Capezzi,MF,27.0,175,5,0.0
Étienne Capoue,MF,33.0,2290,30,0.04
Gianluca Caprari,FWMF,28.0,2739,35,0.39
Francesco Caputo,FW,34.0,156,2,0.0
Francesco Caputo,FW,34.0,2790,36,0.35
Maxence Caqueret,MF,22.0,2335,31,0.0
Andrea Carboni,DF,21.0,2215,30,0.0
Isaac Carcelen,DFMF,29.0,1544,25,0.0
Cárdenas,GK,25.0,2160,24,0.0
Irvin Cardona,FWMF,24.0,1334,32,0.27
Igor Carioca,DF,25.0,1578,28,0.0
Carlo,MF,21.0,7,1,0.0
Diego Carlos,DF,29.0,2957,34,0.09
Carmona,DF,20.0,24,1,0.0
Yannick Carrasco,DFMF,28.0,2583,34,0.21
Guido Carrillo,FW,31.0,1168,29,0.15
Dani Carvajal,DF,30.0,1551,24,0.06
William Carvalho,MF,30.0,1805,33,0.1
Nicolò Casale,DF,24.0,2586,36,0.0
Casemiro,MF,30.0,2569,32,0.04
Matty Cash,DF,24.0,3377,38,0.11
Kiko Casilla,GK,35.0,1260,14,0.0
Moreto Cassamã,MF,24.0,801,17,0.22
Francesco Cassata,MF,24.0,7,1,0.0
Timothy Castagne,DF,26.0,2127,27,0.04
Koen Casteels,GK,29.0,2520,28,0.0
Jean-Charles Castelletto,DF,27.0,2510,28,0.04
Samu Castillejo,FWMF,27.0,125,5,0.0
Gonzalo Castro,MFFW,34.0,436,12,0.21
Jonny Castro,DF,28.0,1024,13,0.18
Gaetano Castrovilli,MF,25.0,1391,23,0.06
Danilo Cataldi,MF,27.0,1707,32,0.05
Catena,DF,27.0,3240,36,0.06
Craig Cathcart,DF,33.0,2396,31,0.0
Edinson Cavani,FW,35.0,766,15,0.24
Dani Ceballos,MF,25.0,276,11,0.0
Pietro Ceccaroni,DF,26.0,3122,35,0.06
Federico Ceccherini,DF,30.0,2358,34,0.04
Emil Ceide,FWDF,20.0,53,6,0.0
Zeki Çelik,DF,25.0,2696,32,0.07
Fabien Centonze,DF,26.0,1586,19,0.23
Luca Ceppitelli,DF,32.0,1445,24,0.06
Franco Cervi,MF,28.0,1801,33,0.2
Leonardo César Jardim,GK,27.0,1530,17,0.0
Damir Ceter,FW,24.0,6,1,0.0
Julian Chabot,DF,24.0,490,11,0.0
Julian Chabot,DF,24.0,209,4,0.0
El Chadaille Bitshiabu,DF,17.0,5,1,0.0
Nassim Chadli,MFDF,20.0,96,8,0.0
Kayky Chagas,FW,18.0,7,1,0.0
Mehdi Chahiri,MF,25.0,16,1,0.0
Trevoh Chalobah,DF,22.0,1449,20,0.19
Calum Chambers,DF,27.0,831,11,0.11
Calum Chambers,DF,27.0,170,2,0.0
Dylan Chambost,MFFW,24.0,753,19,0.0
Timothy Chandler,DF,32.0,1212,17,0.0
Chapela,MFFW,23.0,398,9,0.0
Brendan Chardonnet,DF,27.0,2686,32,0.1
Xavier Chavalerin,MFDF,31.0,220,3,0.0
Xavier Chavalerin,MFFW,31.0,2717,34,0.17
Justin Che,DFMF,18.0,41,2,0.0
Chema,MF,30.0,45,1,0.0
Rayan Cherki,FWMF,18.0,440,16,0.0
Denis Cheryshev,MF,31.0,563,17,0.0
Daniel Chesters,MF,20.0,1,1,0.0
Giorgio Chiellini,DF,37.0,1354,21,0.0
Federico Chiesa,MFFW,24.0,863,14,0.21
Ben Chilwell,DF,25.0,542,7,0.5
Chiquinho,DFMF,22.0,208,8,0.0
Vlad Chiriche?,DF,32.0,2300,29,0.0
Pedro Chirivella,MF,25.0,2637,31,0.1
Joris Chotard,MF,20.0,2935,36,0.03
Hamza Choudhury,DFMF,24.0,285,6,0.0
Andreas Christensen,DF,26.0,1496,19,0.0
Max Christiansen,MF,25.0,2054,27,0.0
Carney Chukwuemeka,MFFW,18.0,301,12,0.0
Samuel Chukwueze,MF,23.0,1333,27,0.2
Víctor Chust,DF,22.0,1830,25,0.0
Riccardo Ciervo,MFDF,20.0,227,10,0.0
Jasper Cillessen,GK,33.0,1457,17,0.0
Pathé Ciss,MF,28.0,1097,31,0.16
Moustapha Cissé,FW,18.0,38,3,2.5
Giorgio Cittadini,DF,20.0,4,2,0.0
Ciaran Clark,DF,32.0,1014,13,0.0
Alexis Claude-Maurice,MF,23.0,209,10,0.0
Jonathan Clauss,DF,29.0,3046,37,0.15
Carlos Clerc,DF,30.0,1514,19,0.0
Tom Cleverley,MF,32.0,1616,28,0.0
Nathaniel Clyne,DF,31.0,1351,16,0.0
