Player Name,Appearances,Goals Scored,Assists Provided,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90
Youssouf Sabaly,4,0,0,1.25,1.00,1.50,7.50
Moussa Ndiaye,0,0,0,0,0,0,0
Papa Gueye,3,0,0,0.60,1.19,2.38,10.13
Pape Matar Sarr,0,0,0,1.61,0.00,4.82,8.65
Nampalys Mendy,4,0,0,0.33,0.99,1.31,2.30
Krepin Diatta,3,0,0,1.96,0.00,0.00,3.43
Pathe Ciss,3,0,0,1.23,1.23,1.85,8.63
Moustapha Name,0,0,0,0,0,0,0
Loum Ndiaye,0,0,0,0,0,0,0
Boulaye Dia,4,1,0,0.56,0.28,0.28,4.76
Ismalia Sarr,4,1,0,3.40,0.52,0.78,11.77
Bamba Dieng,4,1,0,0,0,0,0
Iliman Ndiaye,3,0,1,4.60,0.66,0.00,3.94
Nicolas Jackson,1,0,0,0,0,0,0
Famara Diedhiou,2,1,0,0.98,0.00,0.00,11.74
Eiji Kawashima,0,0,0,0,0,0,0
Shuichi Gonda,4,0,0,0,0,0,0
Daniel Schmidt,0,0,0,0,0,0,0
Miki Yamane,1,0,0,1.45,2.90,1.45,4.35
Shogo Taniguchi,2,0,0,0.00,0.43,0.43,6.43
Yuto Nagatomo,4,0,0,1.69,0.00,1.69,3.80
Takehiro Tomiyasu,3,0,0,0.00,0.00,0.00,5.84
Hiroki Sakai,2,0,0,1.50,0.75,3.75,9.00
Maya Yoshida,4,0,1,0.46,0.69,0.92,6.76
Hiroki Ito,1,0,0,0.00,0.00,0.00,4.10
Wataru Endo,4,0,0,0.89,0.89,2.38,10.69
Gaku Shibasaki,0,0,0,0,0,0,0
Ritsu Doan,4,2,0,2.49,0.83,2.49,6.22
Kaoru Mitoma,4,0,1,2.80,1.12,3.91,7.83
Takumi Minamino,3,0,0,1.61,0.00,3.21,3.21
Hidemasa Morita,3,0,0,1.26,0.63,0.00,3.46
Junya Ito,4,0,1,1.95,1.11,1.95,5.58
Daichi Kamada,4,0,0,1.11,0.00,1.94,4.72
